label,youtube_id,time_start,time_end,split
putting wallpaper on wall,05oha6prybI,204,214,train
testifying,05vgdPXVPnE,20,30,train
pulling rope (game),06-wC3dRx38,1,11,train
testifying,06NbbMihUm0,123,133,train
baby waking up,06P5Vgse5p4,0,10,train
answering questions,06X7i-0jJe8,144,154,train
letting go of balloon,06nE9wxznZ0,0,10,train
saluting,07GTNPLVXb8,493,503,train
uncorking champagne,07OW6M40zV8,0,10,train
sucking lolly,07RKKnbrBAw,69,79,train
passing American football (in game),07UGRxHkVrQ,1,11,train
stacking dice,07y_xuVkP2E,72,82,train
playing road hockey,087R2xcVr-E,53,63,train
closing door,08R06fY_fkk,0,10,train
answering questions,08RwdZfHuVM,187,197,train
filling eyebrows,09epENMlB-I,59,69,train
pouring wine,09gPJ_NRR_U,33,43,train
stacking dice,09pvlqHxc3Y,27,37,train
jumping sofa,0AX-lKhzqEU,0,10,train
making slime,0BcgYdsSEsM,200,210,train
poaching eggs,0C0_e840Y2M,243,253,train
stacking dice,0CMruI7ZOIw,522,532,train
picking blueberries,0CPKsjgR_fU,0,10,train
pulling rope (game),0Cpd_xFASrs,0,10,train
chasing,0Dd0MaFLAoY,43,53,train
playing rounders,0DlTLXCjyus,0,10,train
carving marble,0DqBA7mBQuk,108,118,train
spinning plates,0DyKweos7aw,0,10,train
playing shuffleboard,0EQzF8Nsp80,92,102,train
curling eyelashes,0EW1PtOOXIA,0,10,train
putting on sari,0Es3qPvfjHM,173,183,train
playing mahjong,0F13XJZ_9mU,55,65,train
opening coconuts,0FCEBPdlP5I,23,33,train
steer roping,0Fi2QLclc5I,0,10,train
filling eyebrows,0G1AL5g_vus,219,229,train
mixing colours,0GtXTlriidA,16,26,train
answering questions,0GzwiSUpV8E,73,83,train
combing hair,0H6X-vPLiC8,549,559,train
shoot dance,0Hz1QyDrFcI,79,89,train
decoupage,0I91Se43x7g,344,354,train
shoot dance,0Itzmq7h49s,0,10,train
brushing floor,0Ivgi8nmUUY,35,45,train
coloring in,0J4ZwcV2duk,4,14,train
steering car,0JakD3vv-78,0,10,train
pulling rope (game),0JdxBPnezkU,0,10,train
brushing floor,0K2DEYpUE-0,62,72,train
swimming with sharks,0L9IV4oZvMs,30,40,train
pouring wine,0LrFj1PVufg,0,10,train
uncorking champagne,0M3OHm_-CmA,0,10,train
shoot dance,0MXL3_J29Yk,0,10,train
poaching eggs,0MuAWf6QVls,13,23,train
playing mahjong,0N2EyJKncSs,0,10,train
punching person (boxing),0OAuI9XQU_k,12,22,train
letting go of balloon,0OJmX3XSZd0,10,20,train
saluting,0O__WyScYB4,20,30,train
picking blueberries,0ObbBXfzLsY,453,463,train
curling eyelashes,0P9mmd_37dM,150,160,train
jumping sofa,0PVBHNtydJQ,19,29,train
delivering mail,0PYHuhgLK8g,0,10,train
coloring in,0PiPOSU4IHA,446,456,train
curling eyelashes,0PwQ7SYj3TU,81,91,train
tossing salad,0Qpq4G1lmo4,154,164,train
shopping,0QtIphlVLjY,142,152,train
carving wood with a knife,0RHWNn5q1jU,229,239,train
threading needle,0ReTBokf2HU,0,10,train
dealing cards,0Rf_1vgVoS4,0,10,train
twiddling fingers,0RkA9HdVpYk,3,13,train
steering car,0S0UN9PmD0Y,0,10,train
filling cake,0SFi1RI5pdg,0,10,train
milking goat,0SnCYpJtAIU,59,69,train
uncorking champagne,0Ssm1Gq11cg,3,13,train
steer roping,0SvqOlaOdbA,0,10,train
pulling rope (game),0TCWs8lPdV0,0,10,train
seasoning food,0TXRaBr6GHg,0,10,train
stacking dice,0UFFJLJRMic,48,58,train
playing blackjack,0UexjnYF9ls,0,10,train
scrapbooking,0VA8kT4y1Zs,232,242,train
assembling bicycle,0VEVq6bBVLg,2,12,train
playing shuffleboard,0VXUQoJKrk8,0,10,train
tiptoeing,0W4V4KFXcOc,0,10,train
waxing armpits,0WvqogXi8n8,362,372,train
playing shuffleboard,0X-qJiTWHy0,19,29,train
testifying,0X_83YR87vc,793,803,train
playing rounders,0Y2pRMiLqL0,0,10,train
saluting,0YBQHt8qVBM,0,10,train
ski ballet,0YS9Jw5x5gI,20,30,train
treating wood,0Z3XY3MHSA8,272,282,train
twiddling fingers,0Z6IP-n3Dxg,0,10,train
treating wood,0ZUjXcd8Aj4,94,104,train
playing piccolo,0ZibATP444g,44,54,train
playing mahjong,0_8AZ1nIwtM,12,22,train
cutting orange,0aALJZnurdU,0,10,train
surveying,0avrQyHw5Rg,63,73,train
polishing furniture,0avyP-c5Alc,152,162,train
eating nachos,0b6ly0dsuyk,305,315,train
square dancing,0bks6Pad2_0,351,361,train
putting wallpaper on wall,0bmBP8T_kgo,180,190,train
curling eyelashes,0cTwpgrAlDY,0,10,train
delivering mail,0d7AASJrp3U,92,102,train
scrubbing face,0dGcdTBCKGM,9,19,train
ice swimming,0daBdPcpZuQ,9,19,train
sausage making,0dajSzRy7HI,15,25,train
spinning plates,0dvRsA_86ag,60,70,train
entering church,0e6-dDVgVTw,38,48,train
steering car,0euggeY5kAs,0,10,train
scrapbooking,0fwOVf7xeeM,135,145,train
waxing armpits,0gIc8YKsRIk,8,18,train
gospel singing in church,0gXKX1KL0Eo,0,10,train
picking blueberries,0g_wtAa6ACg,47,57,train
assembling bicycle,0gnj7ObEyIw,16,26,train
brushing floor,0h26D8T08hI,2,12,train
delivering mail,0h57Zhz6PXE,68,78,train
doing sudoku,0htrlWN6yDI,19,29,train
shoot dance,0iJ73FDgcXI,3,13,train
steering car,0ihRkxeA_so,0,10,train
tossing salad,0isj-A4QXYk,39,49,train
scrapbooking,0jI2fEPnNtY,53,63,train
bouncing ball (not juggling),0jL2Ss17pKk,745,755,train
pulling rope (game),0je6y7axaRY,0,10,train
dealing cards,0jkNKtINDOo,0,10,train
sieving,0jr3OHg4SfI,271,281,train
using atm,0jtT-Ezyk1Y,17,27,train
steer roping,0kPEpfAoNqs,30,40,train
herding cattle,0kWaTGr5ygo,113,123,train
carving marble,0ksaqnXg4IM,341,351,train
ski ballet,0lWOHnN3oyE,0,10,train
doing sudoku,0m3MiUTQJsw,129,139,train
listening with headphones,0mbx3ksSTCM,315,325,train
brushing floor,0mlyoRXJriA,0,10,train
combing hair,0nHAAkUxNJA,399,409,train
swimming with sharks,0nKGseik2ls,44,54,train
swimming with sharks,0ndsLkgHBRY,0,10,train
bending back,0ntiKJRzb_A,21,31,train
sieving,0nx1_eaJ3Ic,0,10,train
carrying weight,0oOlxza4PSk,0,10,train
punching person (boxing),0oRq3RNovR8,83,93,train
delivering mail,0ociMS7Y9Fo,0,10,train
filling eyebrows,0ovOkBQc8RE,24,34,train
square dancing,0pVqHNqYv0Y,0,10,train
scrapbooking,0pfmn7cPvo8,175,185,train
home roasting coffee,0pwBJCqaY0E,481,491,train
pouring milk,0q3WdSH0fS0,0,10,train
playing blackjack,0q61w8LjTFs,0,10,train
stacking dice,0qHxvFs52oc,103,113,train
jumping sofa,0qarhFuHylk,0,10,train
entering church,0rYN01m1kE8,0,10,train
applying cream,0rvM2EOGIDM,306,316,train
entering church,0ryeVnpaAZY,12,22,train
jumping sofa,0sHvICc8aBw,29,39,train
blending fruit,0spEwnA6ATM,0,10,train
playing mahjong,0tcumj5Dr2I,11,21,train
square dancing,0tq2mNwKttI,19,29,train
swimming with sharks,0u6v46yDz6Q,49,59,train
pouring wine,0uBiRnxzgFA,12,22,train
sucking lolly,0v-CLGZPxXM,1242,1252,train
stacking dice,0vvzrQaUFYU,392,402,train
listening with headphones,0wDiFwKNe9k,14,24,train
shooting off fireworks,0weTYC_R_vQ,17,27,train
ski ballet,0wy3Emhl6ss,0,10,train
blending fruit,0xIZAqbka6A,217,227,train
opening coconuts,0xMdKxUzBvo,41,51,train
using atm,0yEG3MVLHJA,0,10,train
card stacking,0yFNdpcSUJI,70,80,train
brushing floor,0ytLXOTMMsI,0,10,train
poaching eggs,0zA6n-j4pUI,49,59,train
tossing salad,0zb9s5W3brk,0,10,train
dyeing eyebrows,0zxqvfe4UEo,134,144,train
playing shuffleboard,1--GCU-1K8Q,133,143,train
shoot dance,1-JuB0eErIs,3,13,train
shopping,1-LSlKmuaoY,10,20,train
jumping sofa,1-Vi4xvNgOg,8,18,train
playing road hockey,1-pf8inwdX0,37,47,train
making slime,104EGlUQp7Q,196,206,train
bending back,10b7EoZfqp4,58,68,train
adjusting glasses,10bbFE8H43U,355,365,train
pulling rope (game),10c9DFgf3w0,37,47,train
seasoning food,10s4DH8UfTM,552,562,train
closing door,10tyjuHLI9E,35,45,train
herding cattle,116Z7IywcHI,21,31,train
coloring in,117IEHD3DF8,182,192,train
using atm,11wWcl6m0Wk,72,82,train
square dancing,128_gPLKIp4,0,10,train
polishing furniture,134uazXKXaI,46,56,train
decoupage,13G4kzSMEGo,162,172,train
squeezing orange,13QslXFkMMQ,13,23,train
pulling rope (game),13rvzx_LgAk,0,10,train
playing nose flute,14QkC18kNC8,0,10,train
square dancing,14XPB1NrV7Y,0,10,train
milking goat,157NJrSZ040,63,73,train
calculating,15K06z302ws,507,517,train
steering car,17L6UePiyYs,3,13,train
mixing colours,17MgcFSqy7Y,889,899,train
saluting,1827TY4K51A,96,106,train
mixing colours,18Gg07SjxGo,76,86,train
filling eyebrows,18jN1BOFZ38,0,10,train
sausage making,191wAfItiGY,62,72,train
calculating,19dX_7nguXg,19,29,train
jumping sofa,1AKou-475nA,46,56,train
pulling rope (game),1ASCzAsXM1o,0,10,train
steering car,1Aqw0VYdcn8,36,46,train
playing piccolo,1BJJsxCtTdg,215,225,train
entering church,1B_w_HQerhg,135,145,train
scrapbooking,1BceRekHCc4,120,130,train
poaching eggs,1CP4PwW8ujA,0,10,train
stacking dice,1CuZKmWkDfs,0,10,train
pouring wine,1CxFAQPLThs,43,53,train
delivering mail,1D7fx76248g,7,17,train
brushing floor,1DI8sytoaiQ,0,10,train
playing piccolo,1E-rhNtA6SI,219,229,train
scrubbing face,1EIO2JYUr80,185,195,train
letting go of balloon,1ERdl1-Axhs,43,53,train
delivering mail,1Ea85iWgRyI,0,10,train
putting on sari,1Ek4v1oa6b8,188,198,train
pulling rope (game),1F12CHuYZtI,0,10,train
pouring wine,1FZgIR8j3GM,0,10,train
tossing salad,1FkR-rNz990,49,59,train
making slime,1G57V4QDglQ,0,10,train
swimming with sharks,1G5xellEVqU,0,10,train
scrapbooking,1GZ92aAF4S8,110,120,train
vacuuming car,1GrW02skuXw,55,65,train
mixing colours,1HEJOlFVGFI,158,168,train
picking apples,1HnGnW7c2co,0,10,train
stacking dice,1Hy00p8va8Q,1,11,train
grinding meat,1IN7D3FD5yE,106,116,train
decoupage,1IeSeIKxpUQ,8,18,train
brushing floor,1IwANnAPdyc,188,198,train
dealing cards,1J4fmZ-rRH4,74,84,train
pulling rope (game),1J5AVMYXLPc,17,27,train
shooting off fireworks,1JW4mvo-d8s,0,10,train
squeezing orange,1JhwfD8OCSk,0,10,train
making slime,1Jyqb68o6Mo,156,166,train
punching person (boxing),1K7pRk_Jb98,31,41,train
calculating,1K8-H9UIN2I,234,244,train
steering car,1KE1oFGgFGQ,13,23,train
pulling rope (game),1KUG2_mHVfs,25,35,train
playing mahjong,1KjoUph6mK4,0,10,train
calculating,1L0b3eJ3y0A,55,65,train
playing blackjack,1LAyBi4g7cs,481,491,train
doing sudoku,1LExfk3Pm3U,1687,1697,train
chiseling wood,1LXi63VFHHs,1402,1412,train
home roasting coffee,1LcL4hdg3hc,444,454,train
filling eyebrows,1LmDYgjRumI,11,21,train
using atm,1M0tMVeE08w,47,57,train
pouring milk,1M7cF54o2ig,0,10,train
shoot dance,1MRYMjghvvs,26,36,train
treating wood,1NBx8zRj90o,0,10,train
petting horse,1NFDtxe9LNM,50,60,train
brushing floor,1NZX2ZE8JEE,0,10,train
mixing colours,1O0_U_hWmiE,157,167,train
doing laundry,1O5nmSvLwZs,255,265,train
carrying weight,1OFYAZCWv-8,46,56,train
saluting,1PE1Zvt2kSc,40,50,train
coloring in,1PKdEuW7pRM,23,33,train
putting wallpaper on wall,1PXq9pMgPyU,16,26,train
putting wallpaper on wall,1Pc8jkIBWj0,220,230,train
cutting cake,1PxgnWaPwXk,0,10,train
shooting off fireworks,1RAkRG2uUV4,0,10,train
stacking dice,1RR9fvPdFQk,626,636,train
playing mahjong,1RRjhCF0gVc,0,10,train
square dancing,1RSY3XZvpiI,11,21,train
spinning plates,1Sa4XWAd-pg,80,90,train
opening coconuts,1Sde7_C_qzc,65,75,train
listening with headphones,1T845pHrZDU,0,10,train
playing rounders,1TeMWjVPBOE,0,10,train
picking apples,1TmbSSWN4q8,88,98,train
sieving,1TqalwzfE3o,0,10,train
filling eyebrows,1U-2-iy1LEI,62,72,train
mixing colours,1UCNziOY5jY,68,78,train
pouring milk,1UKAvZa3paA,80,90,train
pouring wine,1UOjkJYRu1M,9,19,train
blending fruit,1Up6T_9NHDc,50,60,train
playing nose flute,1UunO4EeJ0k,6,16,train
base jumping,1VSn8Zx_3l4,0,10,train
washing hair,1VfYizufpzs,0,10,train
poking bellybutton,1W7JPYLp2JA,17,27,train
skiing mono,1W8qjS2QTFw,10,20,train
passing American football (in game),1WEiLmmivag,9,19,train
scrapbooking,1WL3ud8gVA0,289,299,train
pouring wine,1WZj-feYqtg,4,14,train
pouring milk,1WpWkJs420w,0,10,train
opening coconuts,1X0knpOkrH8,448,458,train
petting horse,1XSQ_CO4bLY,17,27,train
twiddling fingers,1Y3XJfTOnds,0,10,train
testifying,1Y6jJBnwIlk,1294,1304,train
picking blueberries,1Y9N7d9ArAo,54,64,train
letting go of balloon,1YDrlB2cQNw,51,61,train
stacking dice,1YLRR5sfyK8,75,85,train
chiseling stone,1YRHIrs7Qks,17,27,train
poaching eggs,1Ymzr4SGir8,0,10,train
pouring wine,1Yp6e9J_KP8,52,62,train
testifying,1Z-qMhqwWhY,282,292,train
steering car,1ZCHr-xm-gY,0,10,train
playing piccolo,1ZvEgf2U9Us,70,80,train
being in zero gravity,1_TzrQ5F00o,12,22,train
pouring wine,1_geW2OBKSE,30,40,train
decoupage,1aAkhm5uRd0,511,521,train
playing mahjong,1aO2dY0BIhQ,735,745,train
seasoning food,1bRNOnZcq0Q,308,318,train
curling eyelashes,1chgB34F6RI,0,10,train
steer roping,1csotw8kpGA,0,10,train
decoupage,1dP097oswUo,360,370,train
mixing colours,1djvAdAYb64,7,17,train
playing rounders,1e7kETaoPbA,0,10,train
shooting off fireworks,1eEvK9agYcI,0,10,train
petting horse,1eYSuQESKsI,0,10,train
saluting,1eZ2jZ9Vm9c,50,60,train
chasing,1e_RPiOlMSQ,36,46,train
playing piccolo,1e_fftfpzKs,11,21,train
pulling espresso shot,1f634A31l8Q,190,200,train
opening coconuts,1f9Odff5PpE,0,10,train
springboard diving,1fGr9zXNiI8,0,10,train
testifying,1fHTVuo_CNI,508,518,train
doing sudoku,1fz81iOHeg4,632,642,train
playing road hockey,1fzQKbSOI_E,68,78,train
opening coconuts,1g73i80Qc5k,66,76,train
coloring in,1gI7gmKA_l0,28,38,train
stacking dice,1gV-HsviH70,97,107,train
vacuuming car,1ge1WH_YoRY,0,10,train
square dancing,1gmDVbxrkWU,320,330,train
saluting,1h9tKjsfZOE,143,153,train
using atm,1hFvJYoAAk4,6,16,train
passing American football (in game),1hGG6h6Ksis,0,10,train
opening coconuts,1hQ-E6rlAJQ,90,100,train
swimming with sharks,1hq154_Gp1I,54,64,train
washing hair,1hsYarrDkjk,766,776,train
card stacking,1iD9KlGJfLY,223,233,train
laying decking,1iKYb4W0sgc,80,90,train
opening coconuts,1j_QXrXodvI,32,42,train
carving marble,1jwCxFoP48A,0,10,train
steering car,1kQ7G8esOkE,0,10,train
entering church,1kYytCdeNss,10,20,train
dealing cards,1l0BhbgpIPQ,0,10,train
blending fruit,1lIRCTA4ZHc,50,60,train
photobombing,1lTyTDcqCr4,519,529,train
petting horse,1ln_XaKJ7Dg,0,10,train
pouring wine,1mUMfvCGPZY,84,94,train
herding cattle,1mfVjO8UD2o,0,10,train
filling cake,1muJ3RJbm5M,297,307,train
chasing,1nCaX_EycRc,6,16,train
delivering mail,1ndAnYUEzK8,0,10,train
playing blackjack,1nkktfkTklE,1459,1469,train
playing mahjong,1nmmSAZM1eQ,0,10,train
opening coconuts,1o801BMcrVk,125,135,train
swimming with sharks,1oSVJzpmEXk,0,10,train
twiddling fingers,1p2zCXrQK_s,6,16,train
seasoning food,1pehXXOYxDo,34,44,train
saluting,1pkT-vMQQzU,17,27,train
delivering mail,1px0_TopbuE,111,121,train
doing sudoku,1q6Nbf14ur4,2205,2215,train
playing nose flute,1qTwY1zxh58,40,50,train
pouring wine,1q_qFWA5MWE,0,10,train
playing with trains,1qmZECSbroY,230,240,train
poaching eggs,1rxrr2_LdzU,0,10,train
